ImageName,Gaussian Noise,PSNR,SSIM
01.png,10,25.71728259,0.780071431
02.png,10,31.22758255,0.808018989
03.png,10,28.37320211,0.859275764
04.png,10,28.21573954,0.862420903
05.png,10,27.5520855,0.880210457
06.png,10,26.19483604,0.81826365
07.png,10,26.22415142,0.824776822
08.png,10,25.06857392,0.747498747
09.png,10,28.97778373,0.794281915
10.png,10,29.96561026,0.8276861
11.png,10,28.82159186,0.801773825
01.png,15,25.3492697,0.715151353
02.png,15,30.02586809,0.74017673
03.png,15,27.73470568,0.808980662
04.png,15,27.59688459,0.823803537
05.png,15,27.01532619,0.831301811
06.png,15,25.76328604,0.760979936
07.png,15,25.81947196,0.764776459
08.png,15,24.76130924,0.700609765
09.png,15,28.2686307,0.746641607
10.png,15,29.07503241,0.773928678
11.png,15,28.13903959,0.756938835
01.png,20,24.88367816,0.648061243
02.png,20,28.77981443,0.671562094
03.png,20,27.00669482,0.756651599
04.png,20,26.87981832,0.779990195
05.png,20,26.34315831,0.784013871
06.png,20,25.24185968,0.703602218
07.png,20,25.3186339,0.702325181
08.png,20,24.3750215,0.650480123
09.png,20,27.42364763,0.692962528
10.png,20,28.09216823,0.716321645
11.png,20,27.31098481,0.706291365
01.png,25,24.35407744,0.585293779
02.png,25,27.5713548,0.602710463
03.png,25,26.17923926,0.697612912
04.png,25,26.00959152,0.73204629
05.png,25,25.65046185,0.733807384
06.png,25,24.67656611,0.647065283
07.png,25,24.69825398,0.642238155
08.png,25,23.92287752,0.600429866
09.png,25,26.5579206,0.638577817
10.png,25,27.04862565,0.656522489
11.png,25,26.43980909,0.652602839
01.png,30,23.79797205,0.529737756
02.png,30,26.36246871,0.539218884
03.png,30,25.31594213,0.640802249
04.png,30,25.16560449,0.687649888
05.png,30,24.87673371,0.685354075
06.png,30,24.02786239,0.5929683
07.png,30,24.05980719,0.586890758
08.png,30,23.39582187,0.550653569
09.png,30,25.6957177,0.587116449
10.png,30,26.06555347,0.600433665
11.png,30,25.58370966,0.604519342
01.png,35,23.20456663,0.48146703
02.png,35,25.32069026,0.484148786
03.png,35,24.54676514,0.598266342
04.png,35,24.35273091,0.645276432
05.png,35,24.08468334,0.641989051
06.png,35,23.4177918,0.548401812
07.png,35,23.47000937,0.543965965
08.png,35,22.8981586,0.506972832
09.png,35,24.84020184,0.539550484
10.png,35,25.16045122,0.548963102
11.png,35,24.73071572,0.556926274
01.png,40,22.68260749,0.444237792
02.png,40,24.40074806,0.443471363
03.png,40,23.74772923,0.549481451
04.png,40,23.59057864,0.605616887
05.png,40,23.34356171,0.598114237
06.png,40,22.84265055,0.509110389
07.png,40,22.89005515,0.50497882
08.png,40,22.32712564,0.466598069
09.png,40,24.0193968,0.495216335
10.png,40,24.31261728,0.505403193
11.png,40,23.97013298,0.514576579
01.png,45,22.09852079,0.409237653
02.png,45,23.59195169,0.405236645
03.png,45,23.00835205,0.511361261
04.png,45,22.94004911,0.575043184
05.png,45,22.67809287,0.567229287
06.png,45,22.21162516,0.473429328
07.png,45,22.28524021,0.468011854
08.png,45,21.81573913,0.432987945
09.png,45,23.28020711,0.459119191
10.png,45,23.45942268,0.462631403
11.png,45,23.21921115,0.477474351
01.png,50,21.52700822,0.383998353
02.png,50,22.76876308,0.370613861
03.png,50,22.3839604,0.47929628
04.png,50,22.2179974,0.53418639
05.png,50,22.04237107,0.535760588
06.png,50,21.60498883,0.442442766
07.png,50,21.66516843,0.433099478
08.png,50,21.30417724,0.400373528
09.png,50,22.54255082,0.42168306
10.png,50,22.72437873,0.424264438
11.png,50,22.50774316,0.440135059
01.png,55,21.02691795,0.355568598
02.png,55,22.08337247,0.342942152
03.png,55,21.72173712,0.446797543
04.png,55,21.56888852,0.503462564
05.png,55,21.32103572,0.503034839
06.png,55,21.07837651,0.413543029
07.png,55,21.15663246,0.406506791
08.png,55,20.78507431,0.371607099
09.png,55,21.86556162,0.388956577
10.png,55,22.02137834,0.388258743
11.png,55,21.84444847,0.410550926
01.png,60,20.50795762,0.32960995
02.png,60,21.43032111,0.315637791
03.png,60,21.07696209,0.414282763
04.png,60,21.0330911,0.480105414
05.png,60,20.86701616,0.479781165
06.png,60,20.54400885,0.387956372
07.png,60,20.58596547,0.383874466
08.png,60,20.30716032,0.3482426
09.png,60,21.24667033,0.362542294
10.png,60,21.35113357,0.360675102
11.png,60,21.23517189,0.381081713
01.png,65,20.0309021,0.310903395
02.png,65,20.77218612,0.291302533
03.png,65,20.53567853,0.389099937
04.png,65,20.46950641,0.453285595
05.png,65,20.26065657,0.451931051
06.png,65,19.98587287,0.365318104
07.png,65,20.17049077,0.362733231
08.png,65,19.82165124,0.323695492
09.png,65,20.67995441,0.336934412
10.png,65,20.77000194,0.334256358
11.png,65,20.645878,0.355698208
01.png,70,19.52079229,0.290856
02.png,70,20.06287622,0.268453177
03.png,70,20.0103386,0.366775815
04.png,70,19.88689059,0.426450396
05.png,70,19.733224,0.430126701
06.png,70,19.55151493,0.342093133
07.png,70,19.69961318,0.345432886
08.png,70,19.38263868,0.3023319
09.png,70,20.138591,0.314808095
10.png,70,20.21861574,0.3101248
11.png,70,20.07531324,0.329094268
