ImageName,Gaussian Noise,PSNR,SSIM
01.png,10,32.62679185,0.898951378
02.png,10,34.90650006,0.891879555
03.png,10,33.232054,0.913209404
04.png,10,31.69907908,0.904695081
05.png,10,32.85927616,0.940526935
06.png,10,32.28274888,0.908787904
07.png,10,32.286719,0.902896558
08.png,10,33.26645266,0.918013029
09.png,10,32.23836799,0.850241316
10.png,10,32.52500359,0.874005472
11.png,10,32.35573493,0.869018045
01.png,15,30.38822531,0.855550507
02.png,15,33.28102726,0.865071511
03.png,15,31.16951397,0.881988177
04.png,15,29.57600321,0.865019248
05.png,15,30.48913422,0.910571841
06.png,15,29.92102585,0.877486955
07.png,15,30.26052715,0.869160597
08.png,15,31.0687648,0.882438852
09.png,15,30.30556464,0.805019527
10.png,15,30.41710055,0.820099854
11.png,15,30.13385921,0.816719769
01.png,20,29.17521978,0.826766357
02.png,20,31.87780818,0.839958503
03.png,20,29.79661606,0.85370329
04.png,20,28.10360177,0.827041374
05.png,20,28.99045375,0.883489465
06.png,20,28.56115494,0.84777027
07.png,20,28.84290346,0.838112801
08.png,20,29.42523289,0.845853872
09.png,20,29.0090624,0.764745913
10.png,20,29.08823306,0.775835412
11.png,20,28.52914487,0.767569302
01.png,25,28.22777203,0.796937955
02.png,25,30.67469034,0.81292507
03.png,25,28.47437609,0.822300237
04.png,25,26.8376965,0.789367768
05.png,25,27.7877846,0.852886092
06.png,25,27.26272366,0.81409202
07.png,25,27.94547621,0.809375732
08.png,25,28.07879792,0.807833888
09.png,25,27.90865009,0.728117591
10.png,25,28.05515448,0.738358976
11.png,25,27.21245324,0.719754396
01.png,30,27.27922949,0.768828294
02.png,30,29.50667415,0.784052117
03.png,30,27.45769666,0.791598682
04.png,30,25.7403927,0.750590187
05.png,30,26.99788913,0.82710242
06.png,30,26.22800355,0.779006447
07.png,30,26.99540718,0.780857711
08.png,30,26.98675136,0.771447556
09.png,30,26.97458132,0.694255504
10.png,30,27.19355525,0.703238775
11.png,30,26.31718192,0.680676414
01.png,35,26.37971598,0.736960934
02.png,35,28.5128666,0.755920785
03.png,35,26.6052945,0.765416361
04.png,35,24.78931703,0.712180867
05.png,35,26.04918175,0.792849883
06.png,35,25.32867202,0.746906863
07.png,35,26.42942199,0.752512488
08.png,35,26.06577961,0.734681047
09.png,35,26.20137677,0.663023007
10.png,35,26.53735475,0.670722026
11.png,35,25.52584819,0.642432092
01.png,40,25.6068004,0.707298643
02.png,40,27.61807748,0.724236312
03.png,40,25.81435973,0.736610039
04.png,40,23.9082476,0.675961164
05.png,40,25.21721729,0.766406624
06.png,40,24.50011574,0.717460338
07.png,40,25.86286729,0.730910685
08.png,40,25.24175696,0.695459957
09.png,40,25.57738823,0.634631129
10.png,40,25.9716495,0.643310727
11.png,40,24.861847,0.607721593
01.png,45,24.95146746,0.679039527
02.png,45,26.78441141,0.693806347
03.png,45,25.09693289,0.707459562
04.png,45,23.44727846,0.647713222
05.png,45,24.54827514,0.738289859
06.png,45,23.88151492,0.684323959
07.png,45,25.14206605,0.702038745
08.png,45,24.72474774,0.666992126
09.png,45,25.06209415,0.607242545
10.png,45,25.43633316,0.61404236
11.png,45,24.41090434,0.579596277
01.png,50,24.23789737,0.65107574
02.png,50,26.0680288,0.664605791
03.png,50,24.38758829,0.677193112
04.png,50,22.84557114,0.616480216
05.png,50,23.74525435,0.708222858
06.png,50,23.18288002,0.647621429
07.png,50,24.57358305,0.677068221
08.png,50,24.16878066,0.63336097
09.png,50,24.56874056,0.580986258
10.png,50,25.01909978,0.587468353
11.png,50,23.98707377,0.553361452
01.png,55,23.68225038,0.616836101
02.png,55,25.43649618,0.630197316
03.png,55,23.79718554,0.652459523
04.png,55,22.3887577,0.590916713
05.png,55,23.12519524,0.676749469
06.png,55,22.63172733,0.616360493
07.png,55,24.08441344,0.64460951
08.png,55,23.66895797,0.605108284
09.png,55,24.07929841,0.555593817
10.png,55,24.65299019,0.564451324
11.png,55,23.64076014,0.529791728
01.png,60,23.09122918,0.589146393
02.png,60,24.84650204,0.606559037
03.png,60,23.19640882,0.623985061
04.png,60,22.02864551,0.566167528
05.png,60,22.36321406,0.643155266
06.png,60,22.36188596,0.597000275
07.png,60,23.68620587,0.62557905
08.png,60,23.25881269,0.575319684
09.png,60,23.73244099,0.533870523
10.png,60,24.24356381,0.540456171
11.png,60,23.31527622,0.506185079
01.png,65,22.63697683,0.565211572
02.png,65,24.70018784,0.575935635
03.png,65,22.91480702,0.598175034
04.png,65,21.53098811,0.537102681
05.png,65,21.91386039,0.620254083
06.png,65,21.86743847,0.567690101
07.png,65,23.30331484,0.602646855
08.png,65,22.86496429,0.548801217
09.png,65,23.36608345,0.509083332
10.png,65,23.93167871,0.515961494
11.png,65,23.01387221,0.485601993
01.png,70,22.41800298,0.545426512
02.png,70,24.09724508,0.554666279
03.png,70,22.33982692,0.57086525
04.png,70,21.16431078,0.51613803
05.png,70,21.3632604,0.593000534
06.png,70,21.64345479,0.537822165
07.png,70,22.57049092,0.575419537
08.png,70,22.56228872,0.523900182
09.png,70,23.12236529,0.489032188
10.png,70,23.63140079,0.493628401
11.png,70,22.79048311,0.464357646
